Times,Date,Target
第111回,93.11.28,1
第110回,93.11.21,3
第109回,93.11.14,2
第108回,93.11.07,2
第107回,93.10.31,3
第106回,93.10.24,1
第105回,93.10.17,1
第104回,93.10.10,3
第103回,93.10.03,2
第102回,93.09.26,1
第101回,93.09.19,1
第100回,93.09.12,3
第99回,93.09.05,2
第98回,93.08.29,2
第97回,93.08.22,3
第96回,93.08.15,1
第95回,93.08.08,2
第94回,93.08.01,1
第93回,93.07.25,0
第92回,93.07.18,3
第91回,93.07.11,2
第90回,93.07.04,1
第89回,93.06.27,1
第88回,93.06.20,1
第87回,93.06.13,1
第86回,93.06.06,2
第85回,93.05.30,3
第84回,93.05.23,3
第83回,93.05.16,2
第82回,93.05.09,2
第81回,93.05.02,1
第80回,93.04.25,2
第79回,93.04.18,1
第78回,93.04.11,3
第77回,93.04.04,3
第76回,93.03.28,2
第75回,93.03.21,3
第74回,93.03.14,2
第73回,93.03.07,1
第72回,93.02.28,1
第71回,93.02.21,3
第70回,93.02.14,1
第69回,93.02.07,2
第68回,93.01.31,1
第67回,93.01.24,2
第66回,93.01.17,1
第65回,93.01.10,3
第64回,93.01.03,3
第63回,92.12.27,1
第62回,92.12.20,2
第61回,92.12.13,1
第60回,92.12.06,3
第59回,92.11.29,1
第58回,92.11.22,2
第57回,92.11.15,3
第56回,92.11.08,3
第55回,92.11.01,1
第54回,92.10.25,3
第53回,92.10.18,2
第52回,92.10.11,2
第51回,92.10.04,1
第50回,92.09.27,2
第49回,92.09.20,3
第48回,92.09.13,1
第47回,92.09.06,2
第46回,92.08.30,2
第45回,92.08.23,3
第44回,92.08.16,3
第43回,92.08.09,1
第42回,92.08.02,2
第41回,92.07.26,1
第40回,92.07.19,3
第39回,92.07.12,2
第38回,92.07.05,1
第37回,92.06.28,3
第36回,92.06.21,3
第35回,92.06.14,1
第34回,92.06.07,1
第33回,92.05.31,3
第32回,92.05.24,2
第31回,92.05.17,1
第30回,92.05.10,2
第29回,92.05.03,3
第28回,92.04.26,1
第27回,92.04.19,3
第26回,92.04.12,2
第25回,92.04.05,1
第24回,92.03.29,1
第23回,92.03.22,3
第22回,92.03.15,2
第21回,92.03.08,1
第20回,92.03.01,3
第19回,92.02.23,2
第18回,92.02.16,1
第17回,92.02.09,3
第16回,92.02.02,2
第15回,92.01.26,2
第14回,92.01.19,1
第13回,92.01.12,3
第12回,92.01.05,2
第11回,91.12.29,1
第10回,91.12.22,3
第9回,91.12.15,1
第8回,91.12.08,2
第7回,91.11.31,3
第6回,91.11.24,1
第5回,91.11.17,1
第4回,91.11.10,2
第3回,91.11.03,3
第2回,91.10.27,2
第1回,91.10.20,1
